# Simulation 4 (Up to date)
# 464 data points written for 53 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
6.373,309.973,14.415,-10.391,14.706,10.4,25.617,0.001,25.617,0.003,2.912,0.444,45,3.262e-4,9.805,1.026,-1.741e-4,4.107,0.003,60.459,12.3,9.486e-4,9.82e-6,31.623,23.959,3.066,0.045,4.273e5,0,0.042,0.617,0.619,0.433,0.064,0.12,0.219,0.671,-3.056e-4,0,0,0,0,0.002,2.5,4.909,72.316,0.003,1.971,12.985,976.895,339.168,0.05,0.244
6.423,310.681,13.897,-10.348,14.194,10.356,25.762,0.001,25.762,0.003,2.889,0.421,45,3.281e-4,9.805,1.044,-1.798e-4,7.774,0.005,60.459,12.3,9.486e-4,9.82e-6,31.618,23.959,3.063,0.043,4.127e5,0,0.039,0.617,0.619,0.433,0.064,0.12,0.223,0.678,-4.924e-4,0,0,0,0,0.007,2.5,4.909,72.017,0.002,1.904,12.981,976.812,339.165,0.05,0.244
6.473,311.362,13.38,-10.317,13.685,10.323,25.906,0.001,25.906,0.003,2.87,0.364,45,3.299e-4,9.805,0.889,-1.91e-4,10.384,0.009,60.459,12.3,9.486e-4,9.82e-6,31.663,23.959,3.082,0.042,3.981e5,0,0.036,0.617,0.619,0.433,0.064,0.12,0.189,0.57,-1.101e-4,0,0,0,0,0.013,2.5,4.909,71.559,0.001,1.823,12.976,976.732,339.162,0.05,0.245
6.523,312.019,12.865,-10.298,13.178,10.302,26.049,0.001,26.049,0.003,2.853,0.275,45,3.317e-4,9.805,0.526,-1.872e-4,12.741,0.017,60.459,12.3,9.486e-4,9.82e-6,31.772,23.959,3.125,0.04,3.833e5,0,0.034,0.617,0.618,0.433,0.064,0.12,0.111,0.326,-2.968e-4,0,0,0,0,0.021,2.5,4.909,70.975,4.766e-5,1.716,12.972,976.655,339.16,0.05,0.245
6.573,312.649,12.351,-10.244,12.673,10.249,26.191,0.001,26.191,0.003,2.841,0.314,45,3.335e-4,9.805,0.829,-1.909e-4,13.035,0.016,60.459,12.3,9.486e-4,9.82e-6,31.681,23.959,3.089,0.039,3.701e5,0,0.031,0.617,0.619,0.433,0.064,0.12,0.176,0.521,1.433e-4,0,0,0,0,0.023,2.5,4.909,70.324,-7.515e-4,1.774,12.968,976.582,339.157,0.05,0.246
6.623,313.254,11.841,-10.181,12.172,10.188,26.333,0.001,26.333,0.003,2.821,0.389,45,3.353e-4,9.805,1.377,-2.024e-4,16.953,0.013,60.459,12.3,9.486e-4,9.82e-6,31.521,23.959,3.025,0.038,3.58e5,0,0.029,0.618,0.621,0.433,0.064,0.12,0.297,0.858,1.438e-4,0,0,0,0,0.042,2.5,4.909,69.575,-0.001,1.92,12.964,976.511,339.155,0.05,0.247
6.673,313.833,11.332,-10.156,11.674,10.162,26.473,0.001,26.473,0.003,2.803,0.347,45,3.371e-4,9.805,1.25,-1.847e-4,19.208,0.016,60.459,12.3,9.486e-4,9.82e-6,31.558,23.959,3.039,0.036,3.445e5,0,0.027,0.62,0.623,0.436,0.064,0.12,0.269,0.759,-1.931e-4,0,0,0,0,0.059,2.5,4.909,68.673,-0.001,1.907,12.96,976.443,339.153,0.05,0.247
6.723,314.387,10.825,-10.129,11.178,10.135,26.613,0.001,26.613,0.003,2.787,0.321,45,3.389e-4,9.805,1.199,-1.975e-4,21.715,0.017,60.459,12.3,9.486e-4,9.82e-6,31.572,23.959,3.045,0.035,3.315e5,0,0.026,0.624,0.627,0.44,0.064,0.12,0.258,0.704,2.241e-4,0,0,0,0,0.081,2.5,4.909,67.645,-0.001,1.932,12.956,976.378,339.151,0.05,0.248
6.773,314.916,10.319,-10.123,10.685,10.126,26.752,0.001,26.752,0.003,2.772,0.245,45,3.407e-4,9.805,0.75,-1.654e-4,23.589,0.025,60.459,12.3,9.486e-4,9.82e-6,31.705,23.959,3.098,0.033,3.176e5,0,0.024,0.628,0.63,0.444,0.064,0.12,0.159,0.389,3.005e-4,0,0,0,0,0.104,2.5,4.909,66.51,-0.001,1.874,12.953,976.316,339.148,0.05,0.248
6.823,315.419,9.813,-10.116,10.194,10.118,26.89,0.001,26.89,0.003,2.762,0.181,45,3.424e-4,9.805,0.292,-1.927e-4,23.858,0.053,60.459,12.3,9.486e-4,9.82e-6,31.843,23.959,3.154,0.032,3.038e5,0,0.022,0.633,0.633,0.449,0.064,0.12,0.061,0.077,4.448e-4,0,0,0,0,0.116,2.5,4.909,65.319,-6.006e-4,1.806,12.95,976.257,339.146,0.05,0.249
# Event EJECTION_CHARGE occurred at t=6.86 seconds
6.86,315.771,9.443,-10.092,9.837,10.094,26.991,0.001,26.991,0.003,2.755,0.185,45,3.437e-4,9.805,0.382,-1.68e-4,24.047,0.028,60.459,12.3,9.486e-4,9.82e-6,31.816,23.959,3.143,0.031,2.947e5,0,0.02,0.636,0.636,0.452,0.064,0.12,0.08,0.126,2.401e-4,0,0,0,0,0.125,2.5,4.909,64.441,-2.171e-4,1.838,12.947,976.215,339.145,0.037,0.25
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=6.861 seconds
6.863,315.794,9.418,-10.09,9.813,10.091,26.998,0.001,26.998,0.003,2.755,0.188,45,3.438e-4,9.805,0.416,-1.802e-4,24.096,0.025,60.459,12.3,9.486e-4,9.82e-6,31.805,23.959,3.138,0.031,2.942e5,0,0.02,0.636,0.637,0.452,0.064,0.12,0.087,0.147,4.568e-4,0,0,0,0,0.126,2.5,4.909,64.381,-1.906e-4,1.846,12.947,976.213,339.145,0.003,0.252
6.864,315.804,9.353,-64.683,10.412,70.018,27.001,0.001,27.001,0.003,2.728,26.807,45,3.439e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.031,2.922e5,0,3.693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.846,12.947,976.213,339.145,0.001,0.406
6.865,315.816,9.273,-63.949,10.327,69.22,27.004,0.001,27.004,0.003,2.695,26.494,45,3.439e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.031,2.898e5,0,3.644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.849,12.947,976.212,339.145,0.001,0.407
6.866,315.827,9.193,-63.047,10.241,68.239,27.008,0.001,27.008,0.003,2.662,26.108,45,3.439e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.03,2.874e5,0,3.585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.852,12.947,976.21,339.145,0.001,0.407
6.867,315.839,9.111,-62.148,10.155,67.262,27.011,0.001,27.011,0.003,2.628,25.724,45,3.44e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.03,2.85e5,0,3.526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.856,12.947,976.209,339.145,0.001,0.407
6.869,315.851,9.029,-61.25,10.068,66.285,27.015,0.001,27.015,0.003,2.594,25.34,45,3.44e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.03,2.826e5,0,3.467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.86,12.947,976.207,339.145,0.001,0.407
6.87,315.864,8.947,-60.351,9.981,65.308,27.018,0.001,27.018,0.003,2.56,24.957,45,3.441e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.03,2.801e5,0,3.408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.864,12.947,976.206,339.145,0.001,0.407
6.871,315.876,8.863,-59.454,9.893,64.332,27.022,0.001,27.022,0.003,2.525,24.573,45,3.441e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.029,2.776e5,0,3.349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.868,12.947,976.204,339.145,0.001,0.408
6.873,315.889,8.779,-58.556,9.804,63.356,27.025,0.001,27.025,0.003,2.491,24.189,45,3.442e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.029,2.751e5,0,3.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.872,12.947,976.203,339.145,0.001,0.408
6.874,315.902,8.694,-57.659,9.714,62.38,27.029,0.001,27.029,0.003,2.456,23.806,45,3.442e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.029,2.726e5,0,3.231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.877,12.947,976.202,339.145,0.001,0.408
6.876,315.915,8.608,-56.762,9.623,61.405,27.033,0.001,27.033,0.003,2.42,23.422,45,3.443e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.029,2.701e5,0,3.173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.881,12.947,976.2,339.145,0.002,0.408
6.877,315.928,8.522,-55.866,9.532,60.43,27.036,0.001,27.036,0.003,2.384,23.039,45,3.443e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.028,2.675e5,0,3.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.886,12.947,976.198,339.145,0.002,0.408
6.879,315.942,8.434,-54.97,9.44,59.456,27.04,0.001,27.04,0.003,2.348,22.656,45,3.444e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.028,2.649e5,0,3.055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.89,12.946,976.197,339.144,0.002,0.408
6.881,315.955,8.346,-54.075,9.347,58.482,27.044,0.001,27.044,0.003,2.312,22.273,45,3.444e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.028,2.623e5,0,2.996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.895,12.946,976.195,339.144,0.002,0.408
6.882,315.969,8.257,-53.18,9.253,57.508,27.048,0.001,27.048,0.003,2.275,21.89,45,3.445e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.028,2.597e5,0,2.937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9,12.946,976.194,339.144,0.002,0.408
6.884,315.983,8.167,-52.285,9.158,56.535,27.052,0.001,27.052,0.003,2.238,21.507,45,3.445e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.027,2.57e5,0,2.879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.905,12.946,976.192,339.144,0.002,0.408
6.886,315.998,8.076,-51.391,9.062,55.563,27.056,0.001,27.056,0.003,2.201,21.124,45,3.446e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.027,2.543e5,0,2.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.91,12.946,976.19,339.144,0.002,0.409
6.888,316.012,7.984,-50.497,8.965,54.591,27.06,0.001,27.06,0.003,2.163,20.741,45,3.446e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.027,2.516e5,0,2.761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.916,12.946,976.189,339.144,0.002,0.409
6.89,316.027,7.891,-49.604,8.867,53.62,27.064,0.001,27.064,0.003,2.125,20.359,45,3.447e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.026,2.489e5,0,2.703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.921,12.946,976.187,339.144,0.002,0.409
6.891,316.042,7.796,-48.712,8.769,52.649,27.068,0.001,27.068,0.003,2.086,19.976,45,3.447e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.026,2.461e5,0,2.644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.927,12.946,976.185,339.144,0.002,0.409
6.893,316.058,7.701,-47.82,8.669,51.678,27.072,0.001,27.072,0.003,2.047,19.594,45,3.448e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.026,2.433e5,0,2.586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.932,12.946,976.184,339.144,0.002,0.409
6.895,316.074,7.605,-46.928,8.568,50.708,27.076,0.001,27.076,0.003,2.008,19.212,45,3.448e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.026,2.404e5,0,2.527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.938,12.946,976.182,339.144,0.002,0.409
6.898,316.09,7.507,-46.037,8.466,49.739,27.08,0.001,27.08,0.003,1.968,18.83,45,3.449e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.025,2.376e5,0,2.469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.945,12.946,976.18,339.144,0.002,0.409
6.9,316.106,7.409,-45.147,8.362,48.771,27.084,0.001,27.084,0.003,1.928,18.448,45,3.449e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.025,2.347e5,0,2.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.951,12.945,976.178,339.144,0.002,0.41
6.902,316.123,7.309,-44.258,8.258,47.803,27.089,0.001,27.089,0.003,1.887,18.066,45,3.45e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.025,2.318e5,0,2.352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.957,12.945,976.176,339.144,0.002,0.41
6.904,316.139,7.209,-43.36,8.152,46.818,27.093,0.001,27.093,0.003,1.846,17.659,45,3.45e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.024,2.288e5,0,2.293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96,12.945,976.174,339.144,0.002,0.41
6.907,316.156,7.109,-42.479,8.045,45.851,27.097,0.001,27.097,0.003,1.805,17.258,45,3.451e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.024,2.258e5,0,2.234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.962,12.945,976.172,339.144,0.002,0.41
6.909,316.173,7.007,-41.6,7.937,44.886,27.102,0.001,27.102,0.003,1.764,16.857,45,3.451e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.024,2.227e5,0,2.176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.963,12.945,976.17,339.144,0.002,0.41
6.912,316.191,6.903,-40.722,7.827,43.921,27.106,0.001,27.106,0.003,1.722,16.456,45,3.452e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.023,2.196e5,0,2.117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.965,12.945,976.168,339.143,0.003,0.41
6.914,316.209,6.799,-39.844,7.715,42.957,27.111,0.001,27.111,0.003,1.68,16.055,45,3.453e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.023,2.165e5,0,2.059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.968,12.945,976.166,339.143,0.003,0.41
6.917,316.228,6.692,-38.967,7.602,41.994,27.115,0.001,27.115,0.003,1.637,15.655,45,3.453e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.023,2.134e5,0,2.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.97,12.945,976.164,339.143,0.003,0.41
6.92,316.246,6.584,-38.091,7.488,41.032,27.12,0.001,27.12,0.003,1.594,15.255,45,3.454e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.022,2.101e5,0,1.943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.972,12.945,976.162,339.143,0.003,0.41
6.923,316.266,6.475,-37.216,7.372,40.071,27.124,0.001,27.124,0.003,1.55,14.855,45,3.454e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.022,2.069e5,0,1.885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.974,12.944,976.16,339.143,0.003,0.411
6.926,316.285,6.363,-36.342,7.254,39.111,27.129,0.001,27.129,0.003,1.506,14.455,45,3.455e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.022,2.036e5,0,1.827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.977,12.944,976.157,339.143,0.003,0.411
6.929,316.305,6.25,-35.469,7.134,38.152,27.134,0.001,27.134,0.003,1.461,14.056,45,3.455e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.021,2.002e5,0,1.769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.979,12.944,976.155,339.143,0.003,0.411
6.932,316.326,6.135,-34.597,7.013,37.195,27.139,0.001,27.139,0.003,1.416,13.656,45,3.456e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.021,1.968e5,0,1.711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.982,12.944,976.153,339.143,0.003,0.411
6.936,316.347,6.018,-33.726,6.889,36.238,27.143,0.001,27.143,0.003,1.37,13.257,45,3.457e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.021,1.933e5,0,1.653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.984,12.944,976.15,339.143,0.003,0.411
6.94,316.369,5.899,-32.856,6.764,35.283,27.148,0.001,27.148,0.003,1.323,12.858,45,3.457e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.02,1.898e5,0,1.596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.987,12.944,976.148,339.143,0.004,0.411
6.943,316.391,5.777,-31.988,6.636,34.329,27.153,0.001,27.153,0.003,1.276,12.46,45,3.458e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.02,1.862e5,0,1.538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.99,12.944,976.145,339.143,0.004,0.411
6.947,316.414,5.653,-31.121,6.506,33.377,27.158,0.001,27.158,0.003,1.228,12.061,45,3.459e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.02,1.826e5,0,1.481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.993,12.943,976.143,339.143,0.004,0.412
6.951,316.437,5.527,-30.256,6.374,32.426,27.163,0.001,27.163,0.003,1.179,11.663,45,3.459e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.019,1.789e5,0,1.423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.996,12.943,976.14,339.143,0.004,0.412
6.956,316.461,5.398,-29.391,6.239,31.476,27.168,0.001,27.168,0.003,1.129,11.265,45,3.46e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.019,1.751e5,0,1.366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,12.943,976.137,339.142,0.004,0.412
6.961,316.486,5.266,-28.529,6.101,30.527,27.173,0.001,27.173,0.003,1.079,10.865,45,3.461e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.018,1.712e5,0,1.309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.003,12.943,976.134,339.142,0.005,0.412
6.965,316.511,5.131,-27.669,5.961,29.582,27.179,0.001,27.179,0.003,1.028,10.466,45,3.461e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.018,1.673e5,0,1.252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.006,12.943,976.132,339.142,0.005,0.412
6.971,316.537,4.993,-26.811,5.817,28.639,27.184,0.001,27.184,0.003,0.976,10.067,45,3.462e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.018,1.633e5,0,1.195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.009,12.943,976.129,339.142,0.005,0.413
6.976,316.564,4.851,-25.955,5.671,27.697,27.189,0.001,27.189,0.003,0.924,9.668,45,3.462e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.017,1.591e5,0,1.138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.013,12.943,976.126,339.142,0.005,0.413
6.982,316.592,4.706,-25.102,5.52,26.759,27.194,0.001,27.194,0.003,0.87,9.27,45,3.463e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.017,1.549e5,0,1.081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.016,12.942,976.122,339.142,0.006,0.413
6.988,316.62,4.556,-24.251,5.366,25.823,27.199,0.001,27.199,0.003,0.815,8.872,45,3.464e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.016,1.506e5,0,1.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.02,12.942,976.119,339.142,0.006,0.413
6.995,316.65,4.402,-23.402,5.209,24.889,27.204,0.001,27.204,0.003,0.759,8.474,45,3.464e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.016,1.462e5,0,0.969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.024,12.942,976.116,339.142,0.007,0.413
7.002,316.68,4.243,-22.557,5.046,23.959,27.21,0.001,27.21,0.003,0.703,8.077,45,3.465e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.015,1.416e5,0,0.913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.029,12.942,976.112,339.142,0.007,0.413
