# Spaceport America (Up to date)
# 1049 data points written for 34 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (23.6 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
22.79,3561.954,34.579,-9.871,42.208,9.875,2091.599,1.819,2091.6,0.05,24.203,0.265,33,-106.993,9.78,1.524,4.346e-6,7.786,-0.01,0.649,-2.074e-4,0,0,0,0,0.042,54.077,0.097,2.28,-18.049,534.267,320.361,0.05,0.665
22.84,3563.671,34.085,-9.879,41.797,9.882,2095.568,1.826,2095.569,0.05,24.191,0.243,33,-106.993,9.78,1.337,5.621e-6,8.056,-0.008,0.562,4.565e-4,0,0,0,0,0.046,53.681,0.097,2.112,-18.06,534.146,320.355,0.05,0.665
22.89,3565.363,33.591,-9.886,41.388,9.889,2099.535,1.833,2099.536,0.05,24.179,0.223,33,-106.993,9.78,1.159,4.055e-6,8.275,-0.006,0.479,-4.522e-4,0,0,0,0,0.049,53.272,0.098,1.958,-18.071,534.027,320.348,0.05,0.666
22.94,3567.03,33.097,-9.882,40.982,9.884,2103.501,1.841,2103.502,0.05,24.168,0.222,33,-106.993,9.78,1.177,3.633e-6,8.473,-0.006,0.484,4.271e-4,0,0,0,0,0.053,52.853,0.098,1.993,-18.082,533.91,320.341,0.05,0.666
22.99,3568.672,32.603,-9.881,40.577,9.883,2107.465,1.848,2107.465,0.05,24.157,0.215,33,-106.993,9.78,1.132,5.383e-6,8.671,-0.005,0.459,-2.066e-4,0,0,0,0,0.056,52.425,0.098,1.969,-18.092,533.795,320.335,0.05,0.667
23.04,3570.29,32.109,-9.876,40.175,9.878,2111.426,1.855,2111.427,0.05,24.146,0.214,33,-106.993,9.78,1.162,3.71e-6,8.856,-0.005,0.47,7.102e-5,0,0,0,0,0.06,51.986,0.098,2.018,-18.103,533.681,320.328,0.05,0.667
23.09,3571.883,31.615,-9.88,39.775,9.882,2115.387,1.862,2115.387,0.05,24.136,0.199,33,-106.993,9.78,1.018,4.669e-6,9.033,-0.002,0.402,-3.834e-5,0,0,0,0,0.064,51.539,0.098,1.906,-18.113,533.569,320.322,0.05,0.668
23.14,3573.452,31.121,-9.882,39.378,9.884,2119.345,1.87,2119.346,0.051,24.126,0.189,33,-106.993,9.78,0.92,4.295e-6,9.176,6.363e-4,0.354,4.007e-4,0,0,0,0,0.067,51.084,0.098,1.836,-18.124,533.459,320.316,0.05,0.668
23.19,3574.995,30.627,-9.882,38.982,9.883,2123.302,1.877,2123.303,0.051,24.117,0.182,33,-106.993,9.78,0.875,4.915e-6,9.306,0.003,0.33,4.049e-4,0,0,0,0,0.07,50.622,0.098,1.813,-18.134,533.35,320.31,0.05,0.669
23.24,3576.514,30.133,-9.882,38.59,9.883,2127.258,1.884,2127.258,0.051,24.108,0.175,33,-106.993,9.78,0.809,4.602e-6,9.423,0.006,0.297,-4.494e-4,0,0,0,0,0.074,50.153,0.098,1.77,-18.143,533.244,320.304,0.05,0.67
23.29,3578.009,29.639,-9.877,38.2,9.878,2131.212,1.891,2131.212,0.051,24.099,0.175,33,-106.993,9.78,0.846,3.301e-6,9.531,0.005,0.31,7.024e-5,0,0,0,0,0.077,49.68,0.098,1.816,-18.153,533.139,320.298,0.05,0.67
23.34,3579.478,29.145,-9.865,37.813,9.866,2135.164,1.899,2135.165,0.051,24.09,0.184,33,-106.993,9.78,1.01,5.838e-6,9.654,0.002,0.382,-1.946e-4,0,0,0,0,0.08,49.2,0.098,1.978,-18.163,533.036,320.292,0.05,0.671
23.39,3580.923,28.652,-9.865,37.428,9.866,2139.115,1.906,2139.116,0.051,24.081,0.178,33,-106.993,9.78,0.955,4.206e-6,9.789,0.004,0.353,-4.944e-4,0,0,0,0,0.084,48.714,0.098,1.937,-18.172,532.934,320.287,0.05,0.671
23.44,3582.343,28.159,-9.853,37.046,9.855,2143.065,1.913,2143.066,0.051,24.072,0.186,33,-106.993,9.78,1.117,4.189e-6,9.916,0.001,0.422,2.094e-4,0,0,0,0,0.087,48.221,0.098,2.091,-18.181,532.834,320.281,0.05,0.672
23.49,3583.739,27.666,-9.86,36.667,9.861,2147.013,1.921,2147.014,0.051,24.063,0.171,33,-106.993,9.78,0.935,4.533e-6,10.055,0.008,0.336,-3.02e-4,0,0,0,0,0.092,47.722,0.098,1.929,-18.19,532.736,320.276,0.05,0.672
23.54,3585.11,27.173,-9.861,36.291,9.862,2150.96,1.928,2150.961,0.051,24.055,0.163,33,-106.993,9.78,0.853,3.12e-6,10.153,0.012,0.295,2.583e-4,0,0,0,0,0.096,47.217,0.098,1.854,-18.199,532.64,320.27,0.05,0.675
23.59,3586.456,26.68,-9.859,35.918,9.86,2154.905,1.936,2154.906,0.051,24.047,0.159,33,-106.993,9.78,0.834,4.19e-6,10.248,0.015,0.282,2.44e-4,0,0,0,0,0.099,46.707,0.098,1.833,-18.208,532.545,320.265,0.05,0.676
23.64,3587.778,26.187,-9.852,35.548,9.853,2158.849,1.943,2158.85,0.052,24.039,0.162,33,-106.993,9.78,0.918,3.864e-6,10.341,0.013,0.317,1.734e-4,0,0,0,0,0.103,46.192,0.098,1.899,-18.217,532.452,320.26,0.05,0.678
23.69,3589.075,25.695,-9.847,35.181,9.849,2162.792,1.95,2162.793,0.052,24.031,0.162,33,-106.993,9.78,0.955,5.434e-6,10.445,0.013,0.329,3.519e-4,0,0,0,0,0.107,45.672,0.098,1.919,-18.225,532.361,320.254,0.05,0.679
23.74,3590.348,25.203,-9.843,34.818,9.845,2166.733,1.958,2166.734,0.052,24.023,0.16,33,-106.993,9.78,0.976,3.451e-6,10.546,0.014,0.334,2.573e-4,0,0,0,0,0.111,45.148,0.098,1.919,-18.233,532.272,320.249,0.05,0.68
23.79,3591.595,24.711,-9.841,34.458,9.842,2170.673,1.965,2170.674,0.052,24.015,0.157,33,-106.993,9.78,0.972,4.725e-6,10.646,0.016,0.329,1.764e-4,0,0,0,0,0.116,44.618,0.098,1.892,-18.241,532.184,320.245,0.05,0.68
23.84,3592.819,24.219,-9.842,34.101,9.843,2174.612,1.973,2174.613,0.052,24.007,0.151,33,-106.993,9.78,0.905,5.017e-6,10.739,0.021,0.294,-1.685e-4,0,0,0,0,0.12,44.083,0.098,1.803,-18.249,532.098,320.24,0.05,0.681
23.89,3594.017,23.727,-9.838,33.748,9.839,2178.55,1.98,2178.55,0.052,24,0.15,33,-106.993,9.78,0.928,4.243e-6,10.822,0.022,0.299,-1.55e-5,0,0,0,0,0.125,43.544,0.098,1.788,-18.257,532.014,320.235,0.05,0.682
23.94,3595.191,23.235,-9.835,33.399,9.836,2182.486,1.988,2182.487,0.052,23.992,0.147,33,-106.993,9.78,0.935,3.496e-6,10.908,0.024,0.298,2.569e-4,0,0,0,0,0.129,43.001,0.098,1.753,-18.265,531.931,320.23,0.05,0.683
23.99,3596.341,22.743,-9.834,33.053,9.835,2186.421,1.995,2186.422,0.052,23.985,0.143,33,-106.993,9.78,0.909,4.226e-6,10.988,0.029,0.281,-3.455e-4,0,0,0,0,0.134,42.453,0.099,1.682,-18.272,531.851,320.226,0.05,0.684
24.04,3597.466,22.251,-9.829,32.712,9.83,2190.355,2.003,2190.356,0.052,23.978,0.143,33,-106.993,9.78,0.955,4.377e-6,11.065,0.028,0.298,-4.649e-4,0,0,0,0,0.139,41.902,0.099,1.667,-18.28,531.772,320.221,0.05,0.684
24.09,3598.566,21.76,-9.825,32.374,9.827,2194.288,2.01,2194.289,0.052,23.971,0.142,33,-106.993,9.78,0.987,4.98e-6,11.146,0.029,0.306,6.161e-6,0,0,0,0,0.144,41.347,0.099,1.633,-18.287,531.694,320.217,0.05,0.685
24.14,3599.642,21.269,-9.823,32.041,9.824,2198.219,2.018,2198.22,0.053,23.964,0.139,33,-106.993,9.78,0.987,3.542e-6,11.225,0.032,0.302,-7.052e-6,0,0,0,0,0.149,40.787,0.099,1.564,-18.294,531.619,320.213,0.05,0.686
24.19,3600.693,20.778,-9.813,31.712,9.814,2202.15,2.025,2202.151,0.053,23.957,0.144,33,-106.993,9.78,1.159,4.473e-6,11.308,0.025,0.374,4.632e-4,0,0,0,0,0.154,40.224,0.099,1.642,-18.301,531.545,320.209,0.05,0.687
24.24,3601.719,20.287,-9.804,31.387,9.805,2206.079,2.033,2206.08,0.053,23.949,0.149,33,-106.993,9.78,1.324,4.527e-6,11.412,0.021,0.442,-4.517e-4,0,0,0,0,0.159,39.656,0.099,1.71,-18.307,531.473,320.205,0.05,0.688
24.29,3602.722,19.797,-9.798,31.067,9.799,2210.007,2.04,2210.008,0.053,23.942,0.149,33,-106.993,9.78,1.408,4.446e-6,11.526,0.02,0.473,-4.519e-4,0,0,0,0,0.165,39.083,0.1,1.696,-18.314,531.402,320.201,0.05,0.688
24.34,3603.699,19.308,-9.795,30.751,9.796,2213.934,2.048,2213.935,0.053,23.934,0.147,33,-106.993,9.78,1.441,5.012e-6,11.641,0.021,0.481,5.816e-5,0,0,0,0,0.173,38.504,0.1,1.63,-18.32,531.334,320.197,0.05,0.689
24.39,3604.652,18.818,-9.784,30.44,9.785,2217.86,2.056,2217.861,0.053,23.927,0.152,33,-106.993,9.78,1.639,4.521e-6,11.762,0.016,0.562,-2.918e-4,0,0,0,0,0.179,37.919,0.1,1.71,-18.326,531.267,320.193,0.05,0.69
24.44,3605.581,18.329,-9.778,30.135,9.779,2221.784,2.063,2221.785,0.053,23.919,0.153,33,-106.993,9.78,1.735,4.922e-6,11.899,0.016,0.596,2.486e-4,0,0,0,0,0.187,37.327,0.1,1.69,-18.332,531.201,320.189,0.05,0.691
24.49,3606.485,17.84,-9.772,29.834,9.773,2225.707,2.071,2225.708,0.053,23.912,0.154,33,-106.993,9.78,1.838,3.796e-6,12.038,0.015,0.633,-2.518e-5,0,0,0,0,0.195,36.729,0.1,1.671,-18.338,531.138,320.186,0.05,0.692
24.54,3607.365,17.352,-9.767,29.538,9.768,2229.629,2.078,2229.63,0.053,23.904,0.153,33,-106.993,9.78,1.926,3.877e-6,12.183,0.015,0.662,-2.73e-4,0,0,0,0,0.203,36.123,0.101,1.632,-18.344,531.076,320.182,0.05,0.693
24.59,3608.22,16.864,-9.759,29.247,9.76,2233.55,2.086,2233.551,0.054,23.896,0.156,33,-106.993,9.78,2.075,4.19e-6,12.333,0.013,0.718,-4.643e-5,0,0,0,0,0.212,35.51,0.101,1.644,-18.35,531.016,320.179,0.05,0.694
24.64,3609.051,16.376,-9.745,28.963,9.747,2237.469,2.094,2237.47,0.054,23.888,0.162,33,-106.993,9.78,2.335,4.295e-6,12.499,0.009,0.822,-4.236e-4,0,0,0,0,0.22,34.889,0.101,1.763,-18.355,530.958,320.176,0.05,0.696
24.69,3609.858,15.889,-9.732,28.683,9.733,2241.387,2.101,2241.388,0.054,23.88,0.169,33,-106.993,9.78,2.593,5.01e-6,12.687,0.006,0.923,-3.529e-4,0,0,0,0,0.23,34.26,0.101,1.88,-18.36,530.901,320.173,0.05,0.697
24.74,3610.64,15.403,-9.718,28.409,9.72,2245.304,2.109,2245.305,0.054,23.871,0.175,33,-106.993,9.78,2.864,4.731e-6,12.893,0.003,1.029,3.12e-5,0,0,0,0,0.239,33.62,0.102,2.012,-18.365,530.846,320.17,0.05,0.699
24.79,3611.398,14.917,-9.709,28.142,9.711,2249.219,2.117,2249.22,0.054,23.863,0.177,33,-106.993,9.78,3.032,4.55e-6,13.115,0.002,1.087,-3.903e-4,0,0,0,0,0.252,32.97,0.102,2.04,-18.37,530.793,320.167,0.05,0.7
24.84,3612.132,14.432,-9.698,27.88,9.7,2253.133,2.124,2253.134,0.054,23.854,0.181,33,-106.993,9.78,3.24,4.737e-6,13.346,1.496e-4,1.161,-2.642e-4,0,0,0,0,0.264,32.309,0.102,2.109,-18.375,530.741,320.164,0.05,0.7
24.89,3612.842,13.947,-9.697,27.624,9.698,2257.045,2.132,2257.046,0.054,23.845,0.176,33,-106.993,9.78,3.269,3.357e-6,13.583,0.002,1.158,-6.562e-5,0,0,0,0,0.28,31.636,0.103,1.986,-18.38,530.691,320.161,0.05,0.701
24.94,3613.527,13.463,-9.693,27.375,9.694,2260.956,2.14,2260.957,0.054,23.836,0.174,33,-106.993,9.78,3.35,4.477e-6,13.812,0.002,1.176,8.457e-5,0,0,0,0,0.295,30.951,0.103,1.914,-18.384,530.643,320.158,0.05,0.702
24.99,3614.188,12.978,-9.686,27.132,9.687,2264.865,2.147,2264.866,0.054,23.827,0.174,33,-106.993,9.78,3.484,3.887e-6,14.045,0.002,1.216,-4.29e-4,0,0,0,0,0.31,30.254,0.103,1.898,-18.388,530.597,320.156,0.05,0.703
25.04,3614.825,12.494,-9.675,26.896,9.677,2268.773,2.155,2268.774,0.054,23.819,0.177,33,-106.993,9.78,3.685,5.267e-6,14.283,9.555e-4,1.285,1.443e-4,0,0,0,0,0.325,29.546,0.103,1.956,-18.392,530.552,320.153,0.05,0.704
25.09,3615.437,12.011,-9.665,26.667,9.667,2272.679,2.163,2272.68,0.055,23.81,0.178,33,-106.993,9.78,3.877,4.742e-6,14.533,-2.808e-4,1.347,4.777e-4,0,0,0,0,0.34,28.826,0.104,2.007,-18.396,530.509,320.151,0.05,0.704
25.14,3616.026,11.528,-9.653,26.445,9.655,2276.584,2.171,2276.586,0.055,23.801,0.182,33,-106.993,9.78,4.112,4.973e-6,14.792,-0.002,1.428,-3.414e-4,0,0,0,0,0.355,28.093,0.104,2.114,-18.4,530.468,320.148,0.05,0.705
25.19,3616.59,11.045,-9.644,26.23,9.646,2280.488,2.179,2280.489,0.055,23.792,0.182,33,-106.993,9.78,4.272,4.248e-6,15.062,-0.003,1.474,1.033e-4,0,0,0,0,0.373,27.346,0.104,2.135,-18.404,530.428,320.146,0.05,0.705
25.24,3617.13,10.563,-9.635,26.023,9.637,2284.39,2.186,2284.391,0.055,23.782,0.183,33,-106.993,9.78,4.443,4.836e-6,15.336,-0.003,1.526,-3.664e-4,0,0,0,0,0.391,26.586,0.105,2.176,-18.407,530.39,320.144,0.05,0.706
25.29,3617.646,10.082,-9.628,25.823,9.63,2288.291,2.194,2288.292,0.055,23.773,0.182,33,-106.993,9.78,4.577,3.615e-6,15.616,-0.004,1.559,-2.977e-4,0,0,0,0,0.411,25.813,0.105,2.171,-18.411,530.354,320.142,0.05,0.706
25.34,3618.138,9.6,-9.625,25.63,9.627,2292.19,2.202,2292.191,0.055,23.764,0.178,33,-106.993,9.78,4.657,5.383e-6,15.895,-0.003,1.568,7.275e-6,0,0,0,0,0.434,25.025,0.105,2.094,-18.414,530.319,320.14,0.05,0.707
25.39,3618.606,9.119,-9.624,25.446,9.626,2296.087,2.21,2296.088,0.055,23.755,0.173,33,-106.992,9.78,4.697,3.781e-6,16.168,-0.001,1.558,-1.824e-5,0,0,0,0,0.459,24.223,0.105,1.958,-18.417,530.286,320.138,0.05,0.707
25.44,3619.05,8.638,-9.617,25.269,9.619,2299.983,2.218,2299.985,0.055,23.747,0.172,33,-106.992,9.78,4.828,4.088e-6,16.436,-0.001,1.589,-1.009e-4,0,0,0,0,0.48,23.408,0.106,1.95,-18.42,530.255,320.136,0.05,0.708
25.49,3619.47,8.157,-9.611,25.101,9.612,2303.878,2.225,2303.879,0.055,23.738,0.17,33,-106.992,9.78,4.958,4.123e-6,16.709,-0.001,1.617,-4.198e-4,0,0,0,0,0.502,22.579,0.106,1.943,-18.423,530.226,320.135,0.05,0.709
25.54,3619.866,7.677,-9.604,24.941,9.606,2307.772,2.233,2307.773,0.055,23.73,0.168,33,-106.992,9.78,5.085,5.088e-6,16.981,-0.001,1.645,-5.731e-5,0,0,0,0,0.525,21.737,0.106,1.936,-18.425,530.198,320.133,0.05,0.71
25.59,3620.238,7.197,-9.597,24.789,9.599,2311.664,2.241,2311.665,0.056,23.721,0.166,33,-106.992,9.78,5.217,3.333e-6,17.256,-0.002,1.673,-1.214e-4,0,0,0,0,0.548,20.881,0.106,1.943,-18.428,530.172,320.132,0.05,0.711
25.64,3620.586,6.717,-9.588,24.646,9.59,2315.554,2.249,2315.555,0.056,23.713,0.165,33,-106.992,9.78,5.369,5.06e-6,17.534,-0.003,1.711,2.005e-4,0,0,0,0,0.569,20.012,0.107,1.995,-18.43,530.147,320.13,0.05,0.713
25.69,3620.91,6.238,-9.58,24.512,9.581,2319.444,2.257,2319.445,0.056,23.705,0.164,33,-106.992,9.78,5.513,3.678e-6,17.816,-0.004,1.745,-3.568e-4,0,0,0,0,0.59,19.128,0.107,2.052,-18.432,530.124,320.129,0.05,0.715
25.74,3621.209,5.759,-9.566,24.387,9.568,2323.331,2.265,2323.333,0.056,23.697,0.166,33,-106.992,9.78,5.712,4.553e-6,18.105,-0.006,1.805,1.599e-4,0,0,0,0,0.607,18.23,0.107,2.243,-18.434,530.103,320.128,0.05,0.716
25.79,3621.486,5.281,-9.56,24.27,9.561,2327.218,2.273,2327.219,0.056,23.688,0.163,33,-106.992,9.78,5.816,4.879e-6,18.403,-0.007,1.821,6.575e-7,0,0,0,0,0.631,17.317,0.107,2.268,-18.436,530.084,320.127,0.05,0.718
25.84,3621.738,4.803,-9.555,24.163,9.557,2331.103,2.281,2331.104,0.056,23.68,0.159,33,-106.992,9.78,5.895,5.59e-6,18.697,-0.007,1.825,3.12e-4,0,0,0,0,0.657,16.39,0.108,2.25,-18.437,530.066,320.126,0.05,0.719
25.89,3621.966,4.326,-9.55,24.065,9.552,2334.987,2.289,2334.988,0.056,23.673,0.155,33,-106.992,9.78,5.972,4.903e-6,18.991,-0.007,1.828,2.451e-4,0,0,0,0,0.683,15.447,0.108,2.244,-18.439,530.05,320.125,0.05,0.72
25.94,3622.17,3.848,-9.542,23.976,9.543,2338.87,2.297,2338.871,0.056,23.665,0.153,33,-106.992,9.78,6.076,4.62e-6,19.285,-0.008,1.848,-1.879e-4,0,0,0,0,0.703,14.491,0.108,2.351,-18.44,530.036,320.124,0.05,0.722
25.99,3622.351,3.371,-9.538,23.896,9.539,2342.751,2.305,2342.752,0.056,23.657,0.149,33,-106.992,9.78,6.131,4.485e-6,19.581,-0.008,1.843,-2.279e-5,0,0,0,0,0.729,13.519,0.108,2.345,-18.441,530.023,320.123,0.05,0.723
26.04,3622.507,2.895,-9.53,23.826,9.531,2346.631,2.313,2346.633,0.056,23.65,0.147,33,-106.992,9.78,6.212,4.686e-6,19.875,-0.01,1.855,-2.776e-4,0,0,0,0,0.747,12.533,0.109,2.482,-18.442,530.012,320.123,0.05,0.724
26.09,3622.64,2.418,-9.527,23.766,9.528,2350.51,2.321,2350.512,0.057,23.643,0.142,33,-106.992,9.78,6.242,3.398e-6,20.172,-0.01,1.84,7.506e-5,0,0,0,0,0.773,11.531,0.109,2.477,-18.443,530.003,320.122,0.05,0.725
26.14,3622.749,1.942,-9.524,23.715,9.525,2354.388,2.329,2354.389,0.057,23.636,0.137,33,-106.992,9.78,6.265,4.839e-6,20.463,-0.01,1.824,3.363e-4,0,0,0,0,0.797,10.515,0.109,2.496,-18.444,529.995,320.122,0.05,0.727
26.19,3622.834,1.466,-9.524,23.674,9.525,2358.265,2.337,2358.266,0.057,23.629,0.131,33,-106.992,9.78,6.266,4.486e-6,20.751,-0.009,1.796,-2.408e-6,0,0,0,0,0.826,9.485,0.109,2.433,-18.445,529.989,320.122,0.05,0.728
26.24,3622.896,0.99,-9.523,23.643,9.523,2362.141,2.345,2362.142,0.057,23.623,0.126,33,-106.992,9.78,6.263,3.606e-6,21.031,-0.009,1.768,8.529e-5,0,0,0,0,0.852,8.441,0.11,2.401,-18.445,529.985,320.121,0.05,0.729
26.29,3622.933,0.513,-9.523,23.622,9.523,2366.015,2.353,2366.016,0.057,23.616,0.12,33,-106.992,9.78,6.249,4.42e-6,21.306,-0.008,1.736,-8.042e-5,0,0,0,0,0.88,7.382,0.11,2.344,-18.445,529.982,320.121,0.05,0.73
# Event APOGEE occurred at t=26.34 seconds
26.34,3622.947,0.037,-9.521,23.611,9.521,2369.889,2.361,2369.89,0.057,23.611,0.116,33,-106.992,9.78,6.228,3.818e-6,21.575,-0.009,1.708,-4.723e-4,0,0,0,0,0.899,6.31,0.11,2.392,-18.445,529.981,320.121,0.05,0.731
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=26.341 seconds
26.39,3622.937,-0.439,-9.52,23.609,9.521,2373.761,2.369,2373.762,0.057,23.605,0.11,33,-106.992,9.78,6.19,5.345e-6,21.841,-0.009,1.673,1.989e-4,0,0,0,0,0.92,5.225,0.11,2.42,-18.445,529.982,320.121,0.05,0.732
26.393,3622.936,-0.47,-9.582,25.99,15.295,2374.014,2.37,2374.015,0.057,23.566,11.921,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.42,-18.445,529.982,320.121,0.003,0.733
26.481,3622.858,-1.309,-9.568,24.979,15.259,2380.641,2.384,2380.642,0.057,22.524,11.887,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.421,-18.445,529.982,320.121,0.088,0.735
26.57,3622.705,-2.129,-9.207,24.068,14.323,2387.079,2.397,2387.081,0.058,21.547,10.971,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.426,-18.445,529.988,320.121,0.089,0.735
26.658,3622.484,-2.908,-8.887,23.104,13.384,2393.153,2.41,2393.154,0.058,20.669,10.007,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.251,-18.444,529.998,320.122,0.088,0.735
26.763,3622.131,-3.812,-8.606,22.159,12.613,2400.111,2.425,2400.113,0.058,19.7,9.221,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.129,-18.442,530.014,320.123,0.105,0.735
26.904,3621.511,-4.981,-8.293,21.257,11.907,2408.94,2.444,2408.941,0.058,18.496,8.545,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.169,-18.44,530.039,320.124,0.141,0.735
27.061,3620.629,-6.227,-7.918,20.421,11.067,2418.18,2.465,2418.181,0.058,17.279,7.732,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.169,-18.436,530.082,320.127,0.157,0.736
27.237,3619.42,-7.553,-7.555,19.631,10.24,2427.779,2.486,2427.78,0.059,16.066,6.911,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.053,-18.43,530.144,320.13,0.175,0.736
27.475,3617.413,-9.264,-7.166,19.062,9.534,2439.773,2.513,2439.774,0.059,14.565,6.288,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.094,-18.422,530.229,320.135,0.239,0.736
27.773,3614.358,-11.246,-6.652,18.833,8.743,2453.183,2.545,2453.184,0.059,12.875,5.673,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.232,-18.409,530.37,320.143,0.298,0.736
28.112,3610.206,-13.291,-6.043,18.91,7.867,2466.533,2.577,2466.534,0.06,11.17,5.038,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.282,-18.389,530.585,320.155,0.338,0.736
28.48,3604.952,-15.269,-5.379,19.22,6.95,2479.038,2.608,2479.039,0.06,9.551,4.401,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.121,-18.362,530.877,320.171,0.368,0.737
28.889,3598.312,-17.16,-4.616,19.864,6.06,2490.79,2.639,2490.791,0.061,7.943,3.927,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.063,-18.328,531.246,320.192,0.41,0.737
29.312,3590.72,-18.767,-3.803,20.531,5.101,2500.807,2.666,2500.808,0.061,6.506,3.4,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.822,-18.285,531.712,320.218,0.423,0.737
29.779,3581.632,-20.147,-2.955,21.342,4.271,2509.673,2.692,2509.675,0.061,5.066,3.083,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.977,-18.236,532.246,320.248,0.467,0.737
30.279,3571.284,-21.247,-2.2,21.967,3.393,2516.924,2.715,2516.926,0.062,3.774,2.583,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.805,-18.177,532.884,320.284,0.5,0.737
30.779,3560.47,-22.011,-1.528,22.453,2.625,2522.24,2.734,2522.242,0.062,2.707,2.135,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.728,-18.109,533.611,320.325,0.5,0.738
31.279,3549.336,-22.522,-1.023,22.803,2.042,2525.956,2.75,2525.958,0.062,1.823,1.768,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.742,-18.039,534.371,320.367,0.5,0.738
31.779,3537.992,-22.857,-0.669,23.036,1.597,2528.353,2.763,2528.354,0.063,1.098,1.45,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.769,-17.967,535.153,320.411,0.5,0.738
32.279,3526.51,-23.068,-0.423,23.19,1.291,2529.654,2.773,2529.656,0.063,0.489,1.219,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.887,-17.893,535.95,320.456,0.5,0.738
32.779,3514.942,-23.204,-0.272,23.275,0.976,2530.071,2.781,2530.073,0.063,0.02,0.937,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.792,-17.818,536.757,320.501,0.5,0.738
33.279,3503.32,-23.284,-0.159,23.338,0.845,2529.764,2.787,2529.766,0.063,0.395,0.829,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.987,-17.743,537.57,320.547,0.5,0.738
33.779,3491.666,-23.331,-0.095,23.364,0.655,2528.851,2.792,2528.852,0.063,0.719,0.648,33,-106.992,9.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.961,-17.668,538.387,320.592,0.5,0.739
