# Time (s),Vertical acceleration (m/s²),Lateral acceleration (m/s²),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Air temperature (°C),Air pressure (kPa),Shenanigans (sqrt_Hz)
4.3,-15.2175,1.912708,0,0,0,0,92.30987,135.2225
4.31,-15.19504,1.906156,0,0,0,0,92.29928,135.0724
4.32,-15.17391,1.900064,0,0,0,0,92.28524,134.9225
4.33,-15.15392,1.894372,0,0,0,0,92.28382,134.7728
4.34,-15.13495,1.889028,0,0,0,0,92.26806,134.6234
4.35,-15.11685,1.883988,0,0,0,0,92.25401,134.4742
4.36,-15.09951,1.879212,0,0,0,0,92.24071,134.3251
4.37,-15.08284,1.874667,0,0,0,0,92.21818,134.1762
4.38,-15.06676,1.870322,0,0,0,0,92.21847,134.0274
4.39,-15.05118,1.866153,0,0,0,0,92.19958,133.8788
4.4,-15.03605,1.862138,0,0,0,0,92.18356,133.7304
4.41,-15.02131,1.858256,0,0,0,0,92.1664,133.5821
4.42,-15.00691,1.854491,0,0,0,0,92.15914,133.4339
4.43,-14.99282,1.85083,0,0,0,0,92.15178,133.2859
4.44,-14.97899,1.847258,0,0,0,0,92.13234,133.1381
4.45,-14.9654,1.843765,0,0,0,0,92.11982,131.5244
4.46,-14.95202,1.840342,0,0,0,0,92.10325,131.5396
4.47,-14.93881,1.83698,0,0,0,0,92.09262,131.1664
4.48,-14.92577,1.833672,0,0,0,0,92.07094,131.6169
4.49,-14.91288,1.830411,0,0,0,0,92.06422,131.0679
4.5,-14.90011,1.827192,0,0,0,0,92.04946,130.6435
4.51,-14.88747,1.824011,0,0,0,0,92.03268,130.663
4.52,-14.87492,1.820863,0,0,0,0,92.01987,130.4384
4.53,-14.86247,1.817745,0,0,0,0,92.01003,129.4682
4.54,-14.85011,1.814653,0,0,0,0,91.99117,129.5077
4.55,-14.83782,1.811585,0,0,0,0,91.9803,128.9401
4.56,-14.8256,1.808538,0,0,0,0,91.95941,129.7021
4.57,-14.81345,1.805511,0,0,0,0,91.9525,129.0228
4.58,-14.80136,1.802501,0,0,0,0,91.94059,128.1047
4.59,-14.78932,1.799507,0,0,0,0,91.91866,128.6643
4.6,-14.77738,1.796546,0,0,0,0,91.90373,129.2273
4.61,-14.7655,1.793599,0,0,0,0,91.88979,129.6293
4.62,-14.75366,1.790665,0,0,0,0,91.88084,129.2012
4.63,-14.74186,1.787743,0,0,0,0,91.86189,129.4941
4.64,-14.73011,1.78483,0,0,0,0,91.84993,129.4366
4.65,-14.71839,1.781928,0,0,0,0,91.83196,129.833
4.66,-14.7067,1.779035,0,0,0,0,91.826,129.2131
4.67,-14.69506,1.776151,0,0,0,0,91.80602,129.3264
4.68,-14.68344,1.773276,0,0,0,0,91.79705,128.8845
4.69,-14.67186,1.770408,0,0,0,0,91.78307,128.502
4.7,-14.66031,1.767548,0,0,0,0,91.7661,128.4448
4.71,-14.64879,1.764695,0,0,0,0,91.75412,128.2051
4.72,-14.6373,1.761849,0,0,0,0,91.73813,128.1579
4.73,-14.62584,1.75901,0,0,0,0,91.72415,128.1039
4.74,-14.61441,1.756177,0,0,0,0,91.71417,127.7397
4.75,-14.60301,1.753351,0,0,0,0,91.69718,127.6431
4.76,-14.59163,1.750531,0,0,0,0,91.68019,127.7637
4.77,-14.58028,1.747718,0,0,0,0,91.67421,127.3101
4.78,-14.56896,1.74491,0,0,0,0,91.65222,127.4449
4.79,-14.55766,1.742108,0,0,0,0,91.64323,127.2329
4.8,-14.54639,1.739312,0,0,0,0,91.62524,127.2942
4.81,-14.53515,1.736522,0,0,0,0,91.61325,127.2207
4.82,-14.52393,1.733737,0,0,0,0,91.60126,127.034
4.83,-14.51273,1.730958,0,0,0,0,91.59027,126.6937
4.84,-14.50157,1.728184,0,0,0,0,91.57228,126.6218
4.85,-14.49042,1.725416,0,0,0,0,91.56029,126.4806
4.86,-14.99541,1.912788,0,0,0,0,91.361,126.3395
4.87,-15.44917,2.08156,0,0,0,0,91.18258,126.1933
4.88,-15.8402,2.227453,0,0,0,0,91.02221,126.0425
4.89,-16.17703,2.353558,0,0,0,0,90.888,125.8876
4.9,-16.46563,2.462034,0,0,0,0,90.77146,125.7294
4.91,-16.7134,2.555583,0,0,0,0,90.65743,125.5683
4.92,-16.92533,2.636012,0,0,0,0,90.56202,125.4046
4.93,-17.10603,2.704998,0,0,0,0,90.48758,125.2387
4.94,-17.25966,2.764062,0,0,0,0,90.41267,125.0711
4.95,-17.39001,2.81458,0,0,0,0,90.34706,124.9019
4.96,-17.49979,2.857541,0,0,0,0,90.28166,124.7314
4.97,-17.59178,2.893962,0,0,0,0,90.23952,124.5596
4.98,-17.66854,2.924778,0,0,0,0,90.18682,124.3871
4.99,-17.73186,2.950639,0,0,0,0,90.14386,124.2136
5,-17.78345,2.972178,0,0,0,0,90.108,124.0395
5.01,-17.82528,2.990113,0,0,0,0,90.07672,123.8648
5.02,-17.85819,3.004749,0,0,0,0,90.04754,123.6898
5.03,-17.88337,3.016526,0,0,0,0,90.01806,123.5144
5.04,-17.90213,3.02592,0,0,0,0,89.99091,123.3388
5.05,-17.91527,3.033234,0,0,0,0,89.97381,123.1629
5.06,-17.92354,3.038736,0,0,0,0,89.94446,122.987
5.07,-17.92745,3.042616,0,0,0,0,89.92665,122.8109
5.08,-17.92747,3.045047,0,0,0,0,89.90618,122.6348
5.09,-17.92433,3.046297,0,0,0,0,89.89185,122.4586
5.1,-17.91844,3.04652,0,0,0,0,89.86754,122.2825
5.11,-17.91018,3.04585,0,0,0,0,89.86009,122.1063
5.12,-17.89985,3.044406,0,0,0,0,89.83939,121.9304
5.13,-17.88774,3.04229,0,0,0,0,89.82836,121.7544
5.14,-17.87408,3.039591,0,0,0,0,89.81189,121.5786
5.15,-17.8591,3.036388,0,0,0,0,89.79791,121.403
5.16,-17.84296,3.032748,0,0,0,0,89.78336,121.2274
5.17,-17.82584,3.02873,0,0,0,0,89.77418,121.052
5.18,-17.80787,3.024387,0,0,0,0,89.76532,120.8767
5.19,-17.78916,3.019762,0,0,0,0,89.75474,120.7018
5.2,-17.76984,3.014895,0,0,0,0,89.7464,120.527
5.21,-17.74998,3.00982,0,0,0,0,89.73226,120.3524
5.22,-17.72966,3.004565,0,0,0,0,89.71331,120.178
5.23,-17.70896,2.999158,0,0,0,0,89.70551,120.0036
5.24,-17.68794,2.993622,0,0,0,0,89.69784,119.8295
5.25,-17.6667,2.987995,0,0,0,0,89.68029,119.6557
5.26,-17.64523,2.982273,0,0,0,0,89.67583,119.482
5.27,-17.62357,2.97647,0,0,0,0,89.66546,119.3085
5.28,-17.60175,2.970601,0,0,0,0,89.65817,119.1353
